City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rio Grande,-32.035,-52.0986,63.95,90,42,11.48,BR,1668130662
1,Ponta do Sol,32.6667,-17.1,67.71,82,61,2.04,PT,1668130662
2,Taltal,-25.4,-70.4833,60.69,80,5,3.42,CL,1668130662
3,Saldanha,-33.0117,17.9442,53.65,83,0,8.12,ZA,1668130662
4,Hermanus,-34.4187,19.2345,59.81,85,8,8.77,ZA,1668130663
5,Dikson,73.5069,80.5464,1.15,96,77,13.18,RU,1668130663
6,Port Alfred,-33.5906,26.891,61.18,93,100,7.0,ZA,1668130663
7,Mnogovershinnyy,53.9353,139.9242,23.31,78,99,16.42,RU,1668130663
8,Windhoek,-22.5594,17.0832,65.1,29,35,5.75,NA,1668130664
9,Kavieng,-2.5744,150.7967,82.98,72,76,6.89,PG,1668130664
10,Saint Paul Harbor,57.79,-152.4072,35.11,69,0,0.0,US,1668130665
11,Naruja,41.9069,41.9542,53.92,93,89,1.72,GE,1668130665
12,Tabuk,17.4189,121.4443,82.99,73,54,4.45,PH,1668130665
13,Mataura,-46.1927,168.8643,77.88,32,0,1.3,NZ,1668130666
14,Alta Floresta,-9.8756,-56.0861,71.06,89,59,3.42,BR,1668130638
15,Upernavik,72.7868,-56.1549,11.55,86,96,6.46,GL,1668130666
16,Dwārka,22.2394,68.9678,78.62,56,7,9.71,IN,1668130666
17,Esim,4.8699,-2.2405,77.7,85,98,6.73,GH,1668130666
18,Pahrump,36.2083,-115.9839,53.26,28,0,5.99,US,1668130581
19,Ondjiva,-17.0667,15.7333,67.98,32,93,6.58,AO,1668130667
20,Rikitea,-23.1203,-134.9692,74.23,82,100,5.86,PF,1668130667
21,São João da Barra,-21.6403,-41.0511,71.13,95,48,6.78,BR,1668130667
22,Taoudenni,22.6783,-3.9836,72.52,14,0,10.29,ML,1668130668
23,Puerto Escondido,15.85,-97.0667,81.43,57,75,3.44,MX,1668130412
24,Kapaa,22.0752,-159.319,80.92,70,0,17.27,US,1668130668
25,Yangi Marg`ilon,40.4272,71.7189,34.52,80,100,4.61,UZ,1668130668
26,Ushuaia,-54.8,-68.3,44.26,65,20,11.5,AR,1668130668
27,Nelson Bay,-32.7167,152.15,76.08,63,100,10.0,AU,1668130669
28,Bubaque,11.2833,-15.8333,82.38,70,0,11.39,GW,1668130669
29,Kayes,14.0,-11.0,72.7,13,50,4.7,ML,1668130669
30,Esperance,-33.8667,121.9,61.79,72,77,18.95,AU,1668130670
31,Alice Springs,-23.7,133.8833,88.21,40,33,3.0,AU,1668130670
32,Araxá,-19.5933,-46.9406,64.36,100,0,6.91,BR,1668130670
33,Cape Town,-33.9258,18.4232,62.11,76,0,6.91,ZA,1668130393
34,Newport,51.5877,-2.9984,59.68,81,100,23.51,GB,1668130590
35,Qaanaaq,77.484,-69.3632,-7.29,58,0,7.87,GL,1668130671
36,Nikol'sk,53.7189,46.0712,41.16,89,96,12.53,RU,1668130671
37,São Filipe,14.8961,-24.4956,77.11,73,100,5.32,CV,1668130671
38,Mossamedes,-15.1961,12.1522,63.72,82,99,6.87,AO,1668130672
39,Saint-Pierre,-21.3393,55.4781,76.57,56,75,5.75,RE,1668130672
40,Tananger,58.9333,5.6,55.58,90,100,18.41,NO,1668130672
41,Assiut,27.181,31.1837,59.18,48,0,6.67,EG,1668130673
42,Vaini,-21.2,-175.2,80.76,89,75,8.05,TO,1668130673
43,Castro,-24.7911,-50.0119,62.87,69,79,3.38,BR,1668130673
44,Bluff,-46.6,168.3333,58.12,71,0,11.7,NZ,1668130673
45,Punta Arenas,-53.15,-70.9167,46.51,76,75,4.61,CL,1668130424
46,Santa Marta,11.2408,-74.199,79.9,83,75,2.3,CO,1668130611
47,Le Port,-20.9373,55.2919,76.89,75,22,2.93,RE,1668130674
48,Sakaiminato,35.55,133.2333,62.53,77,40,2.3,JP,1668130674
49,Anda,46.4,125.3167,44.17,65,100,14.94,CN,1668130674
50,Cabo San Lucas,22.8909,-109.9124,78.62,69,75,10.36,MX,1668130590
51,Busselton,-33.65,115.3333,59.47,49,52,17.09,AU,1668130675
52,Kutum,14.2,24.6667,61.84,30,4,6.06,SD,1668130675
53,Albany,42.6001,-73.9662,55.81,79,30,3.38,US,1668130563
54,George Town,5.4112,100.3354,81.9,87,20,6.91,MY,1668130675
55,Yellowknife,62.456,-114.3525,14.52,85,100,13.8,CA,1668130676
56,Thompson,55.7435,-97.8558,-5.64,84,40,4.61,CA,1668130676
57,Cairns,-16.9167,145.7667,91.06,51,40,9.22,AU,1668130583
58,Chui,-33.6971,-53.4616,60.48,96,83,7.43,UY,1668130676
59,New Norfolk,-42.7826,147.0587,71.91,54,51,4.0,AU,1668130677
60,Tasiilaq,65.6145,-37.6368,35.76,80,100,32.66,GL,1668130677
61,Vila Velha,-20.3297,-40.2925,76.95,89,75,5.99,BR,1668130677
62,Hobart,-42.8794,147.3294,72.27,84,54,7.67,AU,1668130678
63,Butaritari,3.0707,172.7902,81.37,79,35,18.1,KI,1668130678
64,Pevek,69.7008,170.3133,1.44,95,100,2.1,RU,1668130678
65,Faya,18.3851,42.4509,53.71,73,1,1.39,SA,1668130679
66,Severo-Kuril'sk,50.6789,156.125,31.87,74,97,35.34,RU,1668130679
67,Goedereede,51.8175,3.9806,52.05,89,97,4.0,NL,1668130679
68,Kyshtovka,56.555,76.6271,26.94,98,98,4.85,RU,1668130680
69,Ketchikan,55.3422,-131.6461,34.39,98,100,6.38,US,1668130681
70,Liverpool,53.4106,-2.9779,60.3,82,100,17.27,GB,1668130432
71,East London,-33.0153,27.9116,65.59,89,100,18.34,ZA,1668130681
72,Paamiut,61.994,-49.6678,12.43,84,41,6.06,GL,1668130681
73,Bhilai,21.2167,81.4333,66.33,66,29,4.52,IN,1668130433
74,Ribeira Grande,38.5167,-28.7,57.78,87,86,7.0,PT,1668130682
75,Bredasdorp,-34.5322,20.0403,59.11,85,2,10.98,ZA,1668130682
76,Kabelvåg,68.2114,14.4817,39.22,95,100,14.07,NO,1668130682
77,Makakilo City,21.3469,-158.0858,80.35,59,20,12.66,US,1668130683
78,Turukhansk,65.8167,87.9833,0.01,94,100,8.1,RU,1668130683
79,Hithadhoo,-0.6,73.0833,80.94,78,100,13.2,MV,1668130684
